Store,Inventory Date Time,Product,Gross Volume,Net Volume,Temperature
Jumbo 663,2020-02-18 18:54:06.000,DSL,44170.407,44343.433,51.455
Jumbo 663,2020-02-18 17:58:56.000,DSL,38467.099,38608.045,51.754666
Jumbo 663,2020-02-18 16:59:56.000,DSL,39817.805,39965.802,51.637333
Jumbo 663,2020-02-18 15:59:46.000,DSL,41719.167,41876.872,51.523
Jumbo 663,2020-02-18 14:59:26.000,DSL,42936.285,43100.954,51.395
Jumbo 663,2020-02-18 13:58:06.000,DSL,44856.536,45031.366,51.271333
Jumbo 663,2020-02-18 12:59:37.000,DSL,48102.602,48293.876,51.205666
Jumbo 663,2020-02-18 11:58:56.000,DSL,46122.322,46304.52,51.185
Jumbo 663,2020-02-18 10:59:46.000,DSL,44592.365,44769.069,51.083666
Jumbo 663,2020-02-18 09:58:26.000,DSL,46984.702,47174.653,50.990333
Jumbo 663,2020-02-18 08:59:56.000,DSL,40380.606,40539.076,51.521
Jumbo 663,2020-02-18 07:59:16.000,DSL,41235.053,41398.672,51.460666
Jumbo 663,2020-02-18 06:59:16.000,DSL,42320.564,42490.732,51.387666
Jumbo 663,2020-02-18 05:57:26.000,DSL,43390.896,43567.428,51.322
Jumbo 663,2020-02-18 04:58:16.000,DSL,44021.628,44202.3,51.265666
Jumbo 663,2020-02-18 03:57:36.000,DSL,44498.713,44682.788,51.209666
Jumbo 663,2020-02-18 02:56:56.000,DSL,44513.795,44698.43,51.189
Jumbo 663,2020-02-18 01:58:16.000,DSL,37059.677,37207.98,51.197333
Jumbo 663,2020-02-18 00:56:26.000,DSL,37714.05,37866.721,51.125333
Jumbo 663,2020-02-17 23:56:26.000,DSL,38121.126,38276.8,51.065666
Jumbo 663,2020-02-17 22:57:16.000,DSL,38440.297,38599.386,50.960333
Jumbo 663,2020-02-17 21:57:36.000,DSL,38996.581,39159.335,50.906333
Jumbo 663,2020-02-17 20:57:16.000,DSL,31972.879,32095.722,51.260333
Jumbo 663,2020-02-17 19:59:26.000,DSL,32638.575,32765.661,51.142333
Jumbo 663,2020-02-17 18:56:56.000,DSL,33646.174,33779.688,50.968
Jumbo 663,2020-02-17 17:59:46.000,DSL,35426.221,35570.602,50.740333
Jumbo 663,2020-02-17 16:59:46.000,DSL,36250.502,36399.491,50.662
Jumbo 663,2020-02-17 15:59:56.000,DSL,38360.713,38521.841,50.498
Jumbo 663,2020-02-17 14:59:27.000,DSL,39995.761,40166.922,50.349333
Jumbo 663,2020-02-17 13:59:36.000,DSL,41699.927,41882.182,50.212333
Jumbo 663,2020-02-17 12:59:56.000,DSL,43837.849,44033.502,50.094
Jumbo 663,2020-02-17 11:59:07.000,DSL,39058.715,39223.08,50.505333
Jumbo 663,2020-02-17 10:59:16.000,DSL,39214.851,39387.631,50.044666
Jumbo 663,2020-02-17 09:59:36.000,DSL,40421.908,40596.339,50.225666
Jumbo 663,2020-02-17 08:56:36.000,DSL,42629.449,42817.05,50.088333
Jumbo 663,2020-02-17 07:59:46.000,DSL,36213.564,36354.996,51.246
Jumbo 663,2020-02-17 06:59:06.000,DSL,36591.99,36735.994,51.185
Jumbo 663,2020-02-17 05:58:26.000,DSL,37339.896,37489.077,51.043333
Jumbo 663,2020-02-17 04:59:26.000,DSL,37795.484,37948.011,50.95
