Store,Sales  Date Time,Product,Gallons
Jumbo 663,2020-02-18 23:00:00.000,DSL,0.0
Jumbo 663,2020-02-18 22:00:00.000,DSL,0.0
Jumbo 663,2020-02-18 21:00:00.000,DSL,0.0
Jumbo 663,2020-02-18 20:00:00.000,DSL,0.0
Jumbo 663,2020-02-18 19:00:00.000,DSL,0.0
Jumbo 663,2020-02-18 18:00:00.000,DSL,691.25
Jumbo 663,2020-02-18 17:00:00.000,DSL,1501.3
Jumbo 663,2020-02-18 16:00:00.000,DSL,1760.6
Jumbo 663,2020-02-18 15:00:00.000,DSL,1321.58
Jumbo 663,2020-02-18 14:00:00.000,DSL,1914.59
Jumbo 663,2020-02-18 13:00:00.000,DSL,3206.74
Jumbo 663,2020-02-18 12:00:00.000,DSL,1905.81
Jumbo 663,2020-02-18 11:00:00.000,DSL,2361.57
Jumbo 663,2020-02-18 10:00:00.000,DSL,2421.88
Jumbo 663,2020-02-18 09:00:00.000,DSL,1205.76
Jumbo 663,2020-02-18 08:00:00.000,DSL,924.56
Jumbo 663,2020-02-18 07:00:00.000,DSL,955.22
Jumbo 663,2020-02-18 06:00:00.000,DSL,1074.42
Jumbo 663,2020-02-18 05:00:00.000,DSL,630.37
Jumbo 663,2020-02-18 04:00:00.000,DSL,493.88
Jumbo 663,2020-02-18 03:00:00.000,DSL,0.0
Jumbo 663,2020-02-18 02:00:00.000,DSL,358.98
Jumbo 663,2020-02-18 01:00:00.000,DSL,659.0
Jumbo 663,2020-02-18 00:00:00.000,DSL,403.54
Jumbo 663,2020-02-17 23:00:00.000,DSL,327.92
Jumbo 663,2020-02-17 22:00:00.000,DSL,660.5
Jumbo 663,2020-02-17 21:00:00.000,DSL,555.68
Jumbo 663,2020-02-17 20:00:00.000,DSL,668.03
Jumbo 663,2020-02-17 19:00:00.000,DSL,1011.19
Jumbo 663,2020-02-17 18:00:00.000,DSL,1790.87
Jumbo 663,2020-02-17 17:00:00.000,DSL,841.84
Jumbo 663,2020-02-17 16:00:00.000,DSL,2093.75
Jumbo 663,2020-02-17 15:00:00.000,DSL,1687.33
Jumbo 663,2020-02-17 14:00:00.000,DSL,1727.83
Jumbo 663,2020-02-17 13:00:00.000,DSL,2317.91
Jumbo 663,2020-02-17 12:00:00.000,DSL,1355.19
Jumbo 663,2020-02-17 11:00:00.000,DSL,1550.3
Jumbo 663,2020-02-17 10:00:00.000,DSL,1417.27
Jumbo 663,2020-02-17 09:00:00.000,DSL,1999.69
Jumbo 663,2020-02-17 08:00:00.000,DSL,1308.6
Jumbo 663,2020-02-17 07:00:00.000,DSL,351.71
Jumbo 663,2020-02-17 06:00:00.000,DSL,748.36
Jumbo 663,2020-02-17 05:00:00.000,DSL,472.48
Jumbo 663,2020-02-17 04:00:00.000,DSL,377.02
Jumbo 663,2020-02-17 03:00:00.000,DSL,816.33
Jumbo 663,2020-02-17 02:00:00.000,DSL,120.31
Jumbo 663,2020-02-17 01:00:00.000,DSL,356.88
Jumbo 663,2020-02-17 00:00:00.000,DSL,124.68
Jumbo 663,2020-02-16 23:00:00.000,DSL,308.72
Jumbo 663,2020-02-16 22:00:00.000,DSL,418.54
Jumbo 663,2020-02-16 21:00:00.000,DSL,873.65
Jumbo 663,2020-02-16 20:00:00.000,DSL,448.67
Jumbo 663,2020-02-16 19:00:00.000,DSL,683.66
Jumbo 663,2020-02-16 18:00:00.000,DSL,551.49
Jumbo 663,2020-02-16 17:00:00.000,DSL,683.98
Jumbo 663,2020-02-16 16:00:00.000,DSL,231.56
Jumbo 663,2020-02-16 15:00:00.000,DSL,913.14
Jumbo 663,2020-02-16 14:00:00.000,DSL,608.64
Jumbo 663,2020-02-16 13:00:00.000,DSL,1043.43
Jumbo 663,2020-02-16 12:00:00.000,DSL,1215.3
Jumbo 663,2020-02-16 11:00:00.000,DSL,1691.89
Jumbo 663,2020-02-16 10:00:00.000,DSL,1203.46
Jumbo 663,2020-02-16 09:00:00.000,DSL,456.74
Jumbo 663,2020-02-16 08:00:00.000,DSL,754.53
Jumbo 663,2020-02-16 07:00:00.000,DSL,448.02
Jumbo 663,2020-02-16 06:00:00.000,DSL,201.71
Jumbo 663,2020-02-16 05:00:00.000,DSL,316.24
Jumbo 663,2020-02-16 04:00:00.000,DSL,56.17
Jumbo 663,2020-02-16 03:00:00.000,DSL,293.1
Jumbo 663,2020-02-16 02:00:00.000,DSL,0.0
Jumbo 663,2020-02-16 01:00:00.000,DSL,309.03
Jumbo 663,2020-02-16 00:00:00.000,DSL,119.47
Jumbo 663,2020-02-15 23:00:00.000,DSL,150.48
Jumbo 663,2020-02-15 22:00:00.000,DSL,31.49
Jumbo 663,2020-02-15 21:00:00.000,DSL,334.23
Jumbo 663,2020-02-15 20:00:00.000,DSL,456.08
Jumbo 663,2020-02-15 19:00:00.000,DSL,897.33
Jumbo 663,2020-02-15 18:00:00.000,DSL,697.41
Jumbo 663,2020-02-15 17:00:00.000,DSL,178.3
Jumbo 663,2020-02-15 16:00:00.000,DSL,1002.62
Jumbo 663,2020-02-15 15:00:00.000,DSL,574.51
Jumbo 663,2020-02-15 14:00:00.000,DSL,1330.35
Jumbo 663,2020-02-15 13:00:00.000,DSL,1176.9
Jumbo 663,2020-02-15 12:00:00.000,DSL,539.27
Jumbo 663,2020-02-15 11:00:00.000,DSL,1114.86
Jumbo 663,2020-02-15 10:00:00.000,DSL,919.42
Jumbo 663,2020-02-15 09:00:00.000,DSL,1223.65
Jumbo 663,2020-02-15 08:00:00.000,DSL,623.97
Jumbo 663,2020-02-15 07:00:00.000,DSL,507.98
Jumbo 663,2020-02-15 06:00:00.000,DSL,571.94
Jumbo 663,2020-02-15 05:00:00.000,DSL,610.43
Jumbo 663,2020-02-15 04:00:00.000,DSL,40.05
Jumbo 663,2020-02-15 03:00:00.000,DSL,507.29
Jumbo 663,2020-02-15 02:00:00.000,DSL,289.54
Jumbo 663,2020-02-15 01:00:00.000,DSL,255.14
Jumbo 663,2020-02-15 00:00:00.000,DSL,304.16
Jumbo 663,2020-02-14 23:00:00.000,DSL,926.57
Jumbo 663,2020-02-14 22:00:00.000,DSL,504.23
Jumbo 663,2020-02-14 21:00:00.000,DSL,523.04
Jumbo 663,2020-02-14 20:00:00.000,DSL,967.92
Jumbo 663,2020-02-14 19:00:00.000,DSL,1224.16
Jumbo 663,2020-02-14 18:00:00.000,DSL,532.09
Jumbo 663,2020-02-14 17:00:00.000,DSL,1187.82
Jumbo 663,2020-02-14 16:00:00.000,DSL,1395.1
Jumbo 663,2020-02-14 15:00:00.000,DSL,1623.01
Jumbo 663,2020-02-14 14:00:00.000,DSL,1183.49
Jumbo 663,2020-02-14 13:00:00.000,DSL,1759.88
Jumbo 663,2020-02-14 12:00:00.000,DSL,1762.63
Jumbo 663,2020-02-14 11:00:00.000,DSL,2518.79
Jumbo 663,2020-02-14 10:00:00.000,DSL,2740.86
Jumbo 663,2020-02-14 09:00:00.000,DSL,668.56
Jumbo 663,2020-02-14 08:00:00.000,DSL,1131.19
Jumbo 663,2020-02-14 07:00:00.000,DSL,906.55
Jumbo 663,2020-02-14 06:00:00.000,DSL,1000.51
Jumbo 663,2020-02-14 05:00:00.000,DSL,961.01
Jumbo 663,2020-02-14 04:00:00.000,DSL,1032.22
Jumbo 663,2020-02-14 03:00:00.000,DSL,101.92
Jumbo 663,2020-02-14 02:00:00.000,DSL,605.13
Jumbo 663,2020-02-14 01:00:00.000,DSL,518.33
Jumbo 663,2020-02-14 00:00:00.000,DSL,425.31
Jumbo 663,2020-02-13 23:00:00.000,DSL,528.46
Jumbo 663,2020-02-13 22:00:00.000,DSL,890.46
Jumbo 663,2020-02-13 21:00:00.000,DSL,1508.51
Jumbo 663,2020-02-13 20:00:00.000,DSL,1270.67
Jumbo 663,2020-02-13 19:00:00.000,DSL,1353.9
Jumbo 663,2020-02-13 18:00:00.000,DSL,1201.53
Jumbo 663,2020-02-13 17:00:00.000,DSL,999.36
Jumbo 663,2020-02-13 16:00:00.000,DSL,1412.73
Jumbo 663,2020-02-13 15:00:00.000,DSL,1785.59
Jumbo 663,2020-02-13 14:00:00.000,DSL,1465.61
Jumbo 663,2020-02-13 13:00:00.000,DSL,1908.59
Jumbo 663,2020-02-13 12:00:00.000,DSL,1858.64
Jumbo 663,2020-02-13 11:00:00.000,DSL,2523.61
Jumbo 663,2020-02-13 10:00:00.000,DSL,2074.14
Jumbo 663,2020-02-13 09:00:00.000,DSL,2382.3
Jumbo 663,2020-02-13 08:00:00.000,DSL,1838.86
Jumbo 663,2020-02-13 07:00:00.000,DSL,1639.95
Jumbo 663,2020-02-13 06:00:00.000,DSL,2133.12
Jumbo 663,2020-02-13 05:00:00.000,DSL,997.86
Jumbo 663,2020-02-13 04:00:00.000,DSL,777.35
Jumbo 663,2020-02-13 03:00:00.000,DSL,477.72
Jumbo 663,2020-02-13 02:00:00.000,DSL,81.4
Jumbo 663,2020-02-13 01:00:00.000,DSL,268.17
Jumbo 663,2020-02-13 00:00:00.000,DSL,455.19
Jumbo 663,2020-02-12 23:00:00.000,DSL,496.28
Jumbo 663,2020-02-12 22:00:00.000,DSL,367.39
Jumbo 663,2020-02-12 21:00:00.000,DSL,895.65
Jumbo 663,2020-02-12 20:00:00.000,DSL,2046.55
Jumbo 663,2020-02-12 19:00:00.000,DSL,1155.94
