OrderItemId,Store,Product,Gallons,Delivered Date Time
5395535,Jumbo 663,DSL,7500,
5395534,Jumbo 663,DSL,7570,
5395533,Jumbo 663,DSL,7740,
5395473,Jumbo 663,DSL,7740,
5390709,Jumbo 663,DSL,7590,
5390707,Jumbo 663,DSL,7590,
5390706,Jumbo 663,DSL,7590,
5390700,Jumbo 663,DSL,7650,2020-02-20 07:42:39.3733333
5390699,Jumbo 663,DSL,7650,
5390698,Jumbo 663,DSL,7650,2020-02-20 08:19:46.9900000
5388767,Jumbo 663,DSL,7700,
5387248,Jumbo 663,DSL,7700,
5386179,Jumbo 663,DSL,7700,2020-02-19 19:42:08.2166667
5386178,Jumbo 663,DSL,7700,
5385987,Jumbo 663,DSL,7500,
5385986,Jumbo 663,DSL,7500,
5385972,Jumbo 663,DSL,7770,2020-02-19 13:05:18.1800000
5385971,Jumbo 663,DSL,7770,2020-02-19 10:30:03.8200000
5385720,Jumbo 663,DSL,7655,2020-02-19 03:34:09.4000000
5383698,Jumbo 663,DSL,7500,2020-02-18 18:20:38.2100000
5376149,Jumbo 663,DSL,7570,
5376138,Jumbo 663,DSL,7690,
5376109,Jumbo 663,DSL,7690,
5376107,Jumbo 663,DSL,7500,2020-02-18 09:39:22.6500000
5376106,Jumbo 663,DSL,7690,2020-02-18 11:56:43.4366667
5375481,Jumbo 663,DSL,7500,2020-02-17 12:03:17.2833333
5372208,Jumbo 663,DSL,7570,2020-02-18 02:32:40.7000000
5372205,Jumbo 663,DSL,7650,2020-02-17 21:19:58.3333333
5372188,Jumbo 663,DSL,7650,2020-02-17 11:21:57.5900000
5372147,Jumbo 663,DSL,7650,
5370759,Jumbo 663,DSL,7740,2020-02-16 11:58:36.2300000
5365905,Jumbo 663,DSL,7655,2020-02-16 01:37:57.6500000
5365904,Jumbo 663,DSL,7770,2020-02-15 10:40:14.4200000
5365902,Jumbo 663,DSL,7570,2020-02-15 13:20:31.8200000
5361264,Jumbo 663,DSL,7740,2020-02-14 14:06:40.9033333
5361262,Jumbo 663,DSL,7570,
5358538,Jumbo 663,DSL,7590,2020-02-13 03:26:10.5500000
5358148,Jumbo 663,DSL,7650,2020-02-14 02:50:07.5500000
5358104,Jumbo 663,DSL,7650,2020-02-13 23:27:24.5933333
5358103,Jumbo 663,DSL,7650,2020-02-13 19:54:03.7900000
5357377,Jumbo 663,DSL,7650,
5357376,Jumbo 663,DSL,7650,2020-02-13 08:10:34.3400000
5357373,Jumbo 663,DSL,7650,2020-02-13 14:22:11.7533333
5352295,Jumbo 663,DSL,7590,2020-02-13 01:11:52.3800000
5352294,Jumbo 663,DSL,7650,2020-02-12 20:12:22.0100000
5352293,Jumbo 663,DSL,7590,2020-02-12 19:04:48.8300000
5352288,Jumbo 663,DSL,7500,2020-02-12 06:33:39.5833333
5347439,Jumbo 663,DSL,7590,2020-02-11 01:08:19.5733333
5347381,Jumbo 663,DSL,7500,2020-02-11 07:53:08.1033333
5346253,Jumbo 663,DSL,7570,
5345494,Jumbo 663,DSL,7690,2020-02-12 00:49:18.6300000
5345471,Jumbo 663,DSL,7500,
5345470,Jumbo 663,DSL,7650,2020-02-11 11:16:38.8233333
5345469,Jumbo 663,DSL,7500,
5343784,Jumbo 663,DSL,7500,2020-02-10 14:00:00.0000000
5343778,Jumbo 663,DSL,7650,2020-02-11 04:24:34.3933333
5340958,Jumbo 663,DSL,7500,2020-02-10 11:58:32.4433333
5340957,Jumbo 663,DSL,7500,2020-02-10 08:36:11.3733333
5338262,Jumbo 663,DSL,7590,
5337578,Jumbo 663,DSL,7500,2020-02-09 10:43:30.2666667
5337353,Jumbo 663,DSL,7500,2020-02-09 02:42:38.6700000
5331726,Jumbo 663,DSL,7655,2020-02-08 16:50:00.3100000
5331724,Jumbo 663,DSL,7500,2020-02-08 13:06:13.7066667
