Date,Total Gallons,Count of Gallons
2018-09-20,30240,4
2018-09-21,22500,3
2018-09-22,7500,1
2018-09-23,7650,1
2018-09-24,22860,3
2018-09-25,30555,4
2018-09-26,37790,5
2018-09-27,22770,3
2018-09-28,23015,3
2018-09-29,15300,2
2018-09-30,15430,2
2018-10-01,15270,2
2018-10-02,45270,6
2018-10-03,30150,4
2018-10-04,30240,4
2018-10-05,15380,2
2018-10-06,23120,3
2018-10-07,15240,2
2018-10-08,22980,3
2018-10-09,45985,6
2018-10-10,30670,4
2018-10-11,15265,2
2018-10-12,23150,3
2018-10-13,30540,4
2018-10-14,15190,2
2018-10-15,15300,2
2018-10-16,38180,5
2018-10-17,30420,4
2018-10-18,30820,4
2018-10-19,37970,5
2018-10-20,15350,2
2018-10-21,7740,1
2018-10-22,22810,3
2018-10-23,37990,5
2018-10-24,38100,5
2018-10-25,22690,3
2018-10-26,30650,4
2018-10-27,15510,2
2018-10-28,15190,2
2018-10-29,15070,2
2018-10-30,30570,4
2018-10-31,30750,4
2018-11-01,46025,6
2018-11-02,15395,2
2018-11-03,15360,2
2018-11-04,15310,2
2018-11-05,15395,2
2018-11-06,45460,6
2018-11-07,22910,3
2018-11-08,30805,4
2018-11-09,30470,4
2018-11-10,15510,2
2018-11-11,7740,1
2018-11-12,26840,4
2018-11-13,37860,5
2018-11-14,45440,6
2018-11-15,22740,3
2018-11-16,22590,3
2018-11-17,15000,2
2018-11-18,15090,2
2018-11-19,7500,1
2018-11-20,36790,5
2018-11-21,45730,6
2018-11-22,7580,1
2018-11-23,15170,2
2018-11-25,7690,1
2018-11-26,37990,5
2018-11-27,37580,5
2018-11-28,30190,4
2018-11-29,37770,5
2018-11-30,15000,2
2018-12-01,15140,2
2018-12-02,15380,2
2018-12-03,23030,3
2018-12-04,30310,4
2018-12-05,48640,7
2018-12-06,32060,5
2018-12-07,30685,4
2018-12-08,15260,2
2018-12-09,15300,2
2018-12-10,15151,2
2018-12-11,30481,4
2018-12-12,53446,7
2018-12-13,30460,4
2018-12-14,23170,3
2018-12-15,22681,3
2018-12-16,15300,2
2018-12-17,30490,4
2018-12-18,30900,4
2018-12-19,38170,5
2018-12-20,30180,4
2018-12-21,22770,3
2018-12-22,15510,2
2018-12-23,7770,1
2018-12-24,22880,3
2018-12-27,38420,5
2018-12-28,15220,2
2018-12-29,7770,1
2018-12-30,7740,1
2018-12-31,7610,1
2019-01-01,7740,1
2019-01-02,15350,2
2019-01-03,38080,5
2019-01-04,38495,5
2019-01-05,7655,1
2019-01-06,7610,1
2019-01-07,15480,2
2019-01-08,37960,5
2019-01-09,30445,4
2019-01-10,37570,5
2019-01-11,30100,4
2019-01-12,15310,2
2019-01-13,22955,3
2019-01-14,15395,2
