Date,Total_sales,Inventory,Total_Delivery,Truck_load,Temp-F,Daily_Variation,Variation_Type,Special_Holiday,Week/weekend,Gallons_Left,Temp-C,Season
2019-06-19,30613.47,33981.12,30550.0,4,78.5,0,neutral,0,0,3367.6500000000015,25.833333333333332,Summer
2019-06-20,27402.34,41851.722,37880.0,5,79.0,-3211,negative,0,0,14449.382000000001,26.11111111111111,Summer
2019-06-21,27458.89,44027.074,7770.0,1,80.5,56,positive,0,0,16568.184,26.944444444444443,Unknown
2019-06-22,13303.2,24683.161,22830.0,3,79.0,-14155,negative,0,1,11379.961,26.11111111111111,Summer
2019-06-23,11559.55,34343.323,7700.0,1,80.0,-1743,negative,0,1,22783.772999999997,26.666666666666668,Summer
2019-06-24,26862.71,30430.501,30340.0,4,79.0,15303,positive,0,0,3567.791000000001,26.11111111111111,Summer
2019-06-25,30475.7,33935.27,37940.0,5,77.5,3612,positive,0,0,3459.569999999996,25.27777777777778,Summer
2019-06-26,31300.64,42010.517,30270.0,4,78.0,824,positive,0,0,10709.877,25.555555555555557,Summer
2019-06-27,29537.35,41422.739,23310.0,3,79.0,-1763,negative,0,0,11885.389000000003,26.11111111111111,Summer
2019-06-28,26474.41,42617.924,23010.0,3,78.0,-3062,negative,0,0,16143.514,25.555555555555557,Summer
2019-06-29,13452.8,31412.093,15430.0,2,79.0,-13021,negative,0,1,17959.293,26.11111111111111,Summer
2019-06-30,12876.29,33456.214,7700.0,1,82.5,-576,negative,0,1,20579.924,28.055555555555557,Unknown
2019-07-01,28283.46,28289.919,22870.0,3,83.5,15407,positive,0,0,6.459000000002561,28.61111111111111,Unknown
2019-07-02,25915.49,22581.3,38220.0,5,84.0,-2367,negative,0,0,-3334.1900000000023,28.88888888888889,Unknown
2019-07-03,23130.11,34881.509,22770.0,3,84.5,-2785,negative,0,0,11751.398999999998,29.166666666666668,Unknown
2019-07-04,12945.699999999999,34249.397,15240.0,2,84.5,-10184,negative,0,0,21303.697,29.166666666666668,Unknown
2019-07-05,14116.34,37142.6,15090.0,2,83.0,1170,positive,0,0,23026.26,28.333333333333332,Unknown
2019-07-07,12674.6,27760.369,15390.0,2,84.0,-1441,negative,0,1,15085.768999999998,28.88888888888889,Unknown
2019-07-08,26088.09,30043.11,38200.0,5,85.0,13413,positive,0,0,3955.0200000000004,29.444444444444443,Unknown
2019-07-09,33360.3,42265.499,30960.0,4,82.0,7272,positive,0,0,8905.199,27.77777777777778,Unknown
2019-07-10,35290.09,38701.513,23090.0,3,84.0,1929,positive,0,0,3411.4230000000025,28.88888888888889,Unknown
2019-07-11,31005.18,27591.354,38440.0,5,82.5,-4284,negative,0,0,-3413.826000000001,28.055555555555557,Unknown
2019-07-12,26257.78,34584.374,22700.0,3,85.0,-4747,negative,0,0,8326.594000000005,29.444444444444443,Unknown
2019-07-13,14028.57,31112.956,7500.0,1,83.5,-12229,negative,0,1,17084.386,28.61111111111111,Unknown
2019-07-14,11728.49,24781.348,22740.0,3,84.0,-2300,negative,0,1,13052.858000000002,28.88888888888889,Unknown
2019-07-15,23800.97,38854.462,30420.0,4,84.0,12072,positive,0,0,15053.491999999998,28.88888888888889,Unknown
2019-07-16,29592.48,42023.291,30210.0,4,86.0,5791,positive,0,0,12430.810999999998,30.0,Unknown
2019-07-17,32122.45,43575.052,30615.0,4,84.0,2529,positive,0,0,11452.602000000003,28.88888888888889,Unknown
2019-07-18,31042.98,42293.216,30700.0,4,83.0,-1079,negative,0,0,11250.236,28.333333333333332,Unknown
2019-07-19,24785.9,41509.261,22830.0,3,84.5,-6257,negative,0,0,16723.360999999997,29.166666666666668,Unknown
