Gross Volume,Date
33981.12,2019-06-19
41851.722,2019-06-20
44027.074,2019-06-21
24683.161,2019-06-22
34343.323,2019-06-23
30430.501,2019-06-24
33935.27,2019-06-25
42010.517,2019-06-26
41422.739,2019-06-27
42617.924,2019-06-28
31412.093,2019-06-29
33456.214,2019-06-30
28289.919,2019-07-01
22581.3,2019-07-02
34881.509,2019-07-03
34249.397,2019-07-04
37142.6,2019-07-05
38133.378,2019-07-06
27760.369,2019-07-07
30043.11,2019-07-08
42265.499,2019-07-09
38701.513,2019-07-10
27591.354,2019-07-11
34584.374,2019-07-12
31112.956,2019-07-13
24781.348,2019-07-14
38854.462,2019-07-15
42023.291,2019-07-16
43575.052,2019-07-17
42293.216,2019-07-18
41509.261,2019-07-19
39798.458,2019-07-20
32093.821,2019-07-21
31512.859,2019-07-22
35406.785,2019-07-23
36635.575,2019-07-24
40794.723,2019-07-25
28185.671,2019-07-26
34751.367,2019-07-27
36020.821,2019-07-28
30950.461,2019-07-29
36851.933,2019-07-30
34766.964,2019-07-31
50285.68,2019-08-01
37484.763,2019-08-02
33440.316,2019-08-03
33648.443,2019-08-04
28232.626,2019-08-05
28670.026,2019-08-06
34474.614,2019-08-07
43302.243,2019-08-08
43380.646,2019-08-09
47758.459,2019-08-10
41336.705,2019-08-11
34616.258,2019-08-12
38115.389,2019-08-13
37317.968,2019-08-14
35593.615,2019-08-15
34528.056,2019-08-16
35968.991,2019-08-17
36502.987,2019-08-18
28814.977,2019-08-19
29681.403,2019-08-20
38742.972,2019-08-21
39168.515,2019-08-22
42714.336,2019-08-23
32643.074,2019-08-24
37207.94,2019-08-25
37673.167,2019-08-26
26994.066,2019-08-27
33586.837,2019-08-28
23819.382,2019-08-29
34250.924,2019-08-30
34050.525,2019-08-31
35277.186,2019-09-01
33633.763,2019-09-02
45237.275,2019-09-03
33267.529,2019-09-04
32833.993,2019-09-05
35780.947,2019-09-06
32062.3,2019-09-07
48567.049,2019-09-08
36965.632,2019-09-09
41448.303,2019-09-10
38059.416,2019-09-11
27031.951,2019-09-12
32996.776,2019-09-13
37555.703,2019-09-14
39809.036,2019-09-15
35140.1,2019-09-16
32347.586,2019-09-17
31860.108,2019-09-18
34428.776,2019-09-19
48340.705,2019-09-20
51514.115,2019-09-21
35279.154,2019-09-22
42561.276,2019-09-23
27587.187,2019-09-24
33252.951,2019-09-25
37645.392,2019-09-26
43333.904,2019-09-27
32302.993,2019-09-28
33631.943,2019-09-29
35721.314,2019-09-30
31790.296,2019-10-01
35878.652,2019-10-02
40259.688,2019-10-03
31934.616,2019-10-04
36124.047,2019-10-05
30932.314,2019-10-06
33884.806,2019-10-07
43714.247,2019-10-08
32875.351,2019-10-09
34315.533,2019-10-10
47483.865,2019-10-11
39102.944,2019-10-12
30167.987,2019-10-13
32335.367,2019-10-14
33596.338,2019-10-15
49498.217,2019-10-16
46936.813,2019-10-17
34068.871,2019-10-18
34677.248,2019-10-19
34631.636,2019-10-20
36069.859,2019-10-21
30263.4,2019-10-22
37727.827,2019-10-23
30999.569,2019-10-24
36993.345,2019-10-25
36781.343,2019-10-26
36279.472,2019-10-27
36959.133,2019-10-28
48150.326,2019-10-29
29556.993,2019-10-30
33553.002,2019-10-31
34797.873,2019-11-01
28308.181,2019-11-02
36731.563,2019-11-03
35862.26,2019-11-04
32289.84,2019-11-05
38378.125,2019-11-06
35078.757,2019-11-07
30723.545,2019-11-08
31092.897,2019-11-09
34157.108,2019-11-10
42724.956,2019-11-11
40235.764,2019-11-12
33217.626,2019-11-13
35813.364,2019-11-14
33821.298,2019-11-15
44762.992,2019-11-16
43860.806,2019-11-17
45534.16,2019-11-18
31197.116,2019-11-19
34344.987,2019-11-20
39416.0,2019-11-21
29699.997,2019-11-22
40189.204,2019-11-23
41487.566,2019-11-24
33549.04,2019-11-25
38125.671,2019-11-26
38550.697,2019-11-27
40679.985,2019-11-28
49950.397,2019-11-29
47186.524,2019-11-30
36539.471,2019-12-01
28217.044,2019-12-02
29121.321,2019-12-03
16774.182,2019-12-04
41460.31,2019-12-05
34382.569,2019-12-06
28331.585,2019-12-07
31491.828,2019-12-08
39581.384,2019-12-09
34928.04,2019-12-10
36432.414,2019-12-11
39333.98,2019-12-12
34673.39,2019-12-13
44053.143,2019-12-14
27337.591,2019-12-15
31991.115,2019-12-16
24270.641,2019-12-17
41214.657,2019-12-18
36871.119,2019-12-19
14928.213,2019-12-20
26800.198,2019-12-21
34397.589,2019-12-22
26885.111,2019-12-23
35953.724,2019-12-24
35254.823,2019-12-25
37520.024,2019-12-26
44555.389,2019-12-27
42411.491,2019-12-28
46097.819,2019-12-29
42208.894,2019-12-30
45472.259,2019-12-31
34102.574,2020-01-01
44246.14,2020-01-02
45469.268,2020-01-03
43014.02,2020-01-04
34108.213,2020-01-05
42601.414,2020-01-06
42247.3,2020-01-07
40639.119,2020-01-08
32386.204,2020-01-09
39190.924,2020-01-10
39628.82,2020-01-11
38267.914,2020-01-12
45908.396,2020-01-13
30229.502,2020-01-14
34223.827,2020-01-15
32744.234,2020-01-16
40138.064,2020-01-17
24674.653,2020-01-18
