Date,Total_sales
2018-02-17,13005.65
2018-02-18,10540.88
2018-02-19,23375.02
2018-02-20,30294.14
2018-02-21,28389.64
2018-02-22,29517.68
2018-02-23,23695.920000000002
2018-02-24,12406.19
2018-02-25,10808.449999999999
2018-02-26,23454.9
2018-02-27,30863.43
2018-02-28,29803.0
2018-03-01,31294.7
2018-03-02,23392.329999999998
2018-03-03,13577.34
2018-03-04,11208.119999999999
2018-03-05,23155.98
2018-03-06,29884.64
2018-03-07,31143.989999999998
2018-03-08,29414.37
2018-03-09,21633.03
2018-03-10,11450.85
2018-03-11,14411.94
2018-03-12,22408.35
2018-03-13,30811.59
2018-03-14,29046.11
2018-03-15,31465.53
2018-03-16,23997.11
2018-03-17,11369.25
2018-03-18,11404.36
2018-03-19,22224.55
2018-03-20,29771.21
2018-03-21,28196.88
2018-03-22,27174.38
2018-03-23,25461.33
2018-03-24,14839.28
2018-03-25,14768.46
2018-03-26,22368.33
2018-03-27,27277.6
2018-03-28,28481.26
2018-03-29,26799.77
2018-03-30,20836.61
2018-03-31,10279.72
2018-04-01,11668.7
2018-04-02,22864.63
2018-04-03,26785.48
2018-04-04,31290.48
2018-04-05,28084.44
2018-04-06,24053.02
2018-04-07,12823.9
2018-04-08,11098.92
2018-04-09,24912.66
2018-04-10,30909.57
2018-04-11,28945.9
2018-04-12,25812.85
2018-04-13,23675.4
2018-04-14,14486.7
2018-04-15,11151.86
2018-04-16,26886.07
2018-04-17,33264.78
2018-04-18,27104.13
2018-04-19,28366.07
2018-04-20,25040.96
2018-04-21,11927.63
2018-04-22,12390.69
2018-04-23,24883.94
2018-04-24,32202.34
2018-04-25,29146.01
2018-04-26,30117.809999999998
2018-04-27,23658.21
2018-04-28,12614.96
2018-04-29,11091.71
2018-04-30,23686.38
2018-05-01,28854.03
2018-05-02,32562.12
2018-05-03,27718.87
2018-05-04,24438.38
2018-05-05,9579.6
2018-05-06,11018.31
2018-05-07,22641.989999999998
2018-05-08,27851.050000000003
2018-05-09,25820.760000000002
2018-05-10,25111.31
2018-05-11,21938.12
2018-05-12,11981.32
2018-05-13,10177.8
2018-05-14,21547.9
2018-05-15,27330.95
2018-05-16,32630.33
2018-05-17,23215.63
2018-05-18,23065.89
2018-05-19,11892.3
2018-05-20,11938.28
2018-05-21,22461.84
2018-05-22,30686.96
2018-05-23,29051.97
2018-05-24,29553.19
2018-05-25,22672.47
2018-05-26,12352.85
2018-05-27,6456.68
2018-05-28,12754.42
2018-05-29,25660.3
2018-05-30,30744.2
2018-05-31,28537.14
2018-06-01,24924.9
2018-06-02,10209.38
2018-06-03,10641.45
2018-06-04,22112.61
2018-06-05,24714.23
2018-06-06,25305.329999999998
2018-06-07,30977.88
2018-06-08,23786.0
2018-06-09,13723.23
2018-06-10,12905.47
2018-06-11,21314.079999999998
2018-06-12,27460.75
2018-06-13,28520.34
2018-06-14,30650.75
2018-06-15,24411.29
2018-06-16,16663.98
2018-06-17,13392.38
2018-06-18,27116.83
2018-06-19,28495.309999999998
2018-06-20,27810.4
2018-06-21,29614.239999999998
2018-06-22,24107.51
2018-06-23,14313.65
2018-06-24,10927.8
2018-06-25,25312.44
2018-06-26,32538.54
2018-06-27,27833.1
2018-06-28,27821.3
2018-06-29,22039.42
2018-06-30,14352.460000000001
2018-07-01,11168.38
2018-07-02,23197.97
2018-07-03,21381.47
2018-07-04,16132.01
2018-07-05,19886.11
2018-07-06,21861.09
2018-07-07,11786.33
2018-07-08,11841.9
2018-07-09,24063.93
2018-07-10,32873.07
2018-07-11,35263.68
2018-07-12,29085.48
2018-07-13,26726.93
2018-07-14,13276.6
2018-07-15,14084.89
2018-07-16,25123.329999999998
2018-07-17,32827.03
2018-07-18,27572.53
2018-07-19,27294.58
2018-07-20,23744.51
2018-07-21,12477.039999999999
2018-07-22,10777.48
2018-07-23,25257.45
2018-07-24,28454.57
2018-07-25,31239.16
2018-07-26,28556.66
2018-07-27,25300.3
2018-07-28,12655.72
2018-07-29,10979.26
2018-07-30,23689.5
2018-07-31,29264.17
2018-08-01,31347.64
2018-08-02,32321.57
2018-08-03,23145.75
2018-08-04,14649.47
2018-08-05,11534.78
