,Date,Inventory,Sales,After Sales,Load Count,Total Gallons Delivered,Day,Is Public Holiday,Temp-F,Month,Season,Demand,Sales % of Inventory,Average Load Volume,Average Sales per load,Inventory Turnover,Days of Inventory on Hand,Sales Growth Rate
0,2019-06-19,33981.12,30613.47,3367.65,4,30550,Wednesday,False,78.5,6,Summer,30613.47,90.09,7637.5,7653.37,0.9,1.11,0.0
1,2019-06-20,41851.722,27402.34,14449.38,5,37880,Thursday,False,79.0,6,Summer,27402.34,65.47,7576.0,5480.47,0.65,1.53,-10.49
2,2019-06-21,44027.074,27458.89,16568.18,1,7770,Friday,False,80.5,6,Summer,27458.89,62.37,7770.0,27458.89,0.62,1.6,0.21
3,2019-06-22,24683.161,13303.2,11379.96,3,22830,Saturday,False,79.0,6,Summer,13303.2,53.9,7610.0,4434.4,0.54,1.86,-51.55
4,2019-06-23,34343.323,11559.55,22783.77,1,7700,Sunday,False,80.0,6,Summer,11559.55,33.66,7700.0,11559.55,0.34,2.97,-13.11
5,2019-06-24,30430.501,26862.71,3567.79,4,30340,Monday,False,79.0,6,Summer,26862.71,88.28,7585.0,6715.68,0.88,1.13,132.39
6,2019-06-25,33935.27,30475.7,3459.57,5,37940,Tuesday,False,77.5,6,Summer,30475.7,89.81,7588.0,6095.14,0.9,1.11,13.45
7,2019-06-26,42010.517,31300.64,10709.88,4,30270,Wednesday,False,78.0,6,Summer,31300.64,74.51,7567.5,7825.16,0.75,1.34,2.71
8,2019-06-27,41422.739,29537.35,11885.39,3,23310,Thursday,False,79.0,6,Summer,29537.35,71.31,7770.0,9845.78,0.71,1.4,-5.63
9,2019-06-28,42617.924,26474.41,16143.51,3,23010,Friday,False,78.0,6,Summer,26474.41,62.12,7670.0,8824.8,0.62,1.61,-10.37
10,2019-06-29,31412.093,13452.8,17959.29,2,15430,Saturday,False,79.0,6,Summer,13452.8,42.83,7715.0,6726.4,0.43,2.33,-49.19
11,2019-06-30,33456.214,12876.29,20579.92,1,7700,Sunday,False,82.5,6,Summer,12876.29,38.49,7700.0,12876.29,0.38,2.6,-4.29
12,2019-07-01,28289.919,28283.46,6.46,3,22870,Monday,False,83.5,7,Summer,28283.46,99.98,7623.33,9427.82,1.0,1.0,119.66
13,2019-07-02,22581.3,25915.49,-3334.19,5,38220,Tuesday,False,84.0,7,Summer,25915.49,114.77,7644.0,5183.1,1.15,0.87,-8.37
14,2019-07-03,34881.509,23130.11,11751.4,3,22770,Wednesday,False,84.5,7,Summer,23130.11,66.31,7590.0,7710.04,0.66,1.51,-10.75
15,2019-07-04,34249.397,12945.7,21303.7,2,15240,Thursday,True,84.5,7,Summer,12945.7,37.8,7620.0,6472.85,0.38,2.65,-44.03
16,2019-07-05,37142.6,14116.34,23026.26,2,15090,Friday,False,83.0,7,Summer,14116.34,38.01,7545.0,7058.17,0.38,2.63,9.04
17,2019-07-07,27760.369,12674.6,15085.77,2,15390,Sunday,False,84.0,7,Summer,12674.6,45.66,7695.0,6337.3,0.46,2.19,-10.21
18,2019-07-08,30043.11,26088.09,3955.02,5,38200,Monday,False,85.0,7,Summer,26088.09,86.84,7640.0,5217.62,0.87,1.15,105.83
19,2019-07-09,42265.499,33360.3,8905.2,4,30960,Tuesday,False,82.0,7,Summer,33360.3,78.93,7740.0,8340.08,0.79,1.27,27.88
20,2019-07-10,38701.513,35290.09,3411.42,3,23090,Wednesday,False,84.0,7,Summer,35290.09,91.19,7696.67,11763.36,0.91,1.1,5.78
21,2019-07-11,27591.354,31005.18,-3413.83,5,38440,Thursday,False,82.5,7,Summer,31005.18,112.37,7688.0,6201.04,1.12,0.89,-12.14
22,2019-07-12,34584.374,26257.78,8326.59,3,22700,Friday,False,85.0,7,Summer,26257.78,75.92,7566.67,8752.59,0.76,1.32,-15.31
23,2019-07-13,31112.956,14028.57,17084.39,1,7500,Saturday,False,83.5,7,Summer,14028.57,45.09,7500.0,14028.57,0.45,2.22,-46.57
24,2019-07-14,24781.348,11728.49,13052.86,3,22740,Sunday,False,84.0,7,Summer,11728.49,47.33,7580.0,3909.5,0.47,2.11,-16.4
25,2019-07-15,38854.462,23800.97,15053.49,4,30420,Monday,False,84.0,7,Summer,23800.97,61.26,7605.0,5950.24,0.61,1.63,102.93
26,2019-07-16,42023.291,29592.48,12430.81,4,30210,Tuesday,False,86.0,7,Summer,29592.48,70.42,7552.5,7398.12,0.7,1.42,24.33
