,Date,Temp-F
0,2019-06-01,75.5
1,2019-06-02,77.5
2,2019-06-03,80.0
3,2019-06-04,78.5
4,2019-06-05,79.0
5,2019-06-06,75.0
6,2019-06-07,79.0
7,2019-06-08,70.0
8,2019-06-09,74.0
9,2019-06-10,76.5
10,2019-06-11,78.0
11,2019-06-12,67.5
12,2019-06-13,72.0
13,2019-06-14,68.5
14,2019-06-15,71.5
15,2019-06-16,78.0
16,2019-06-17,81.5
17,2019-06-18,79.0
18,2019-06-19,78.5
19,2019-06-20,79.0
20,2019-06-21,80.5
21,2019-06-22,79.0
22,2019-06-23,80.0
23,2019-06-24,79.0
24,2019-06-25,77.5
25,2019-06-26,78.0
26,2019-06-27,79.0
27,2019-06-28,78.0
28,2019-06-29,79.0
29,2019-06-30,82.5
30,2019-07-01,83.5
31,2019-07-02,84.0
32,2019-07-03,84.5
33,2019-07-04,84.5
34,2019-07-05,83.0
35,2019-07-06,83.0
36,2019-07-07,84.0
37,2019-07-08,85.0
38,2019-07-09,82.0
39,2019-07-10,84.0
40,2019-07-11,82.5
41,2019-07-12,85.0
42,2019-07-13,83.5
43,2019-07-14,84.0
44,2019-07-15,84.0
45,2019-07-16,86.0
46,2019-07-17,84.0
47,2019-07-18,83.0
48,2019-07-19,84.5
49,2019-07-20,81.5
50,2019-07-21,82.0
51,2019-07-22,81.5
52,2019-07-23,77.0
53,2019-07-24,75.5
54,2019-07-25,75.5
55,2019-07-26,76.5
56,2019-07-27,77.5
57,2019-07-28,79.0
58,2019-07-29,81.0
59,2019-07-30,81.0
60,2019-07-31,81.0
61,2019-08-01,83.0
62,2019-08-02,79.5
63,2019-08-03,80.5
64,2019-08-04,76.5
65,2019-08-05,79.0
66,2019-08-06,80.0
67,2019-08-07,81.5
68,2019-08-08,82.0
69,2019-08-09,83.0
70,2019-08-10,83.5
71,2019-08-11,83.5
72,2019-08-12,83.5
73,2019-08-13,84.0
74,2019-08-14,83.5
75,2019-08-15,83.5
76,2019-08-16,81.0
77,2019-08-17,82.5
78,2019-08-18,84.0
79,2019-08-19,82.0
80,2019-08-20,80.0
81,2019-08-21,82.5
82,2019-08-22,83.0
83,2019-08-23,82.0
84,2019-08-24,78.0
85,2019-08-25,72.0
86,2019-08-26,74.5
87,2019-08-27,75.5
88,2019-08-28,80.5
89,2019-08-29,73.5
90,2019-08-30,74.5
91,2019-08-31,76.5
92,2019-09-01,78.5
93,2019-09-02,79.5
94,2019-09-03,80.0
95,2019-09-04,82.0
96,2019-09-05,84.0
97,2019-09-06,81.0
98,2019-09-07,82.5
99,2019-09-08,82.0
100,2019-09-09,81.5
101,2019-09-10,83.0
102,2019-09-11,82.0
103,2019-09-12,83.5
104,2019-09-13,83.5
105,2019-09-14,78.0
106,2019-09-15,79.0
107,2019-09-16,81.0
108,2019-09-17,81.5
109,2019-09-18,74.5
110,2019-09-19,72.0
111,2019-09-20,69.5
112,2019-09-21,71.0
113,2019-09-22,72.0
114,2019-09-23,74.0
115,2019-09-24,80.5
116,2019-09-25,77.0
117,2019-09-26,80.0
118,2019-09-27,83.0
119,2019-09-28,80.0
120,2019-09-29,81.0
121,2019-09-30,82.0
122,2019-10-01,82.0
123,2019-10-02,84.0
124,2019-10-03,84.5
125,2019-10-04,82.5
126,2019-10-05,69.5
127,2019-10-06,71.5
128,2019-10-07,73.5
129,2019-10-08,74.5
130,2019-10-09,67.5
131,2019-10-10,69.5
132,2019-10-11,67.5
133,2019-10-12,72.0
134,2019-10-13,66.0
135,2019-10-14,68.0
136,2019-10-15,66.5
137,2019-10-16,63.5
138,2019-10-17,57.0
139,2019-10-18,57.0
140,2019-10-19,53.5
141,2019-10-20,67.5
142,2019-10-21,66.0
143,2019-10-22,64.0
